Customer ID,Last Used Platform,Is Blocked,Created At,Language,Outstanding Amount,Loyalty Points,Number of Employees
3922702,WEB,0,2021-07-12T08:06:47.000Z,en,0,0,
4058001,WEB,0,2021-08-05T08:22:35.000Z,en,0,0,
4058334,WEB,0,2021-08-05T09:38:09.000Z,en,0,0,
4058414,WEB,0,2021-08-05T09:56:57.000Z,en,0,0,
4058431,WEB,0,2021-08-05T09:59:51.000Z,en,0,0,
4058470,WEB,0,2021-08-05T10:08:09.000Z,en,0,0,
4059148,WEB,0,2021-08-05T12:34:33.000Z,en,0,0,
4063696,WEB,0,2021-08-06T10:40:59.000Z,en,0,0,
4063923,WEB,0,2021-08-06T11:31:11.000Z,en,0,0,6.0
4065612,WEB,0,2021-08-06T16:51:09.000Z,en,0,0,4.0
4069137,WEB,0,2021-08-07T10:30:32.000Z,en,0,0,13.0
4069636,WEB,0,2021-08-07T12:08:27.000Z,en,0,1235,4.0
4069690,WEB,0,2021-08-07T12:20:45.000Z,en,0,40,4.0
4070117,WEB,0,2021-08-07T13:37:42.000Z,en,0,0,5.0
4070566,WEB,0,2021-08-07T14:45:12.000Z,en,0,19,5.0
4070616,WEB,0,2021-08-07T14:53:17.000Z,en,0,1698,6.0
4079018,WEB,0,2021-08-09T08:16:45.000Z,en,0,909,10.0
4081298,WEB,0,2021-08-09T16:21:20.000Z,en,0,1508,3.0
4081518,WEB,0,2021-08-09T17:09:20.000Z,en,0,364,4.0
4082134,WEB,0,2021-08-09T19:52:24.000Z,en,0,81,3.0
4085923,WEB,0,2021-08-10T15:15:34.000Z,en,0,3943,7.0
4086917,WEB,0,2021-08-10T18:52:49.000Z,en,0,82,4.0
4087254,WEB,0,2021-08-10T20:32:26.000Z,en,0,0,3.0
4089911,WEB,0,2021-08-11T11:42:43.000Z,en,0,0,6.0
4090917,WEB,0,2021-08-11T14:51:43.000Z,en,0,125,3.0
4092187,WEB,0,2021-08-11T19:07:03.000Z,en,0,10,2.0
4092383,WEB,0,2021-08-11T19:43:50.000Z,en,0,0,4.0
4095537,WEB,0,2021-08-12T11:20:24.000Z,en,0,0,2.0
4097156,WEB,0,2021-08-12T15:56:40.000Z,en,0,0,3.0
4097394,WEB,0,2021-08-12T16:36:17.000Z,en,0,0,1.0
4098036,WEB,0,2021-08-12T18:55:37.000Z,en,0,0,3.0
4100982,WEB,0,2021-08-13T10:43:40.000Z,en,0,0,3.0
4101027,WEB,0,2021-08-13T10:51:37.000Z,en,0,0,1.0
4102681,WEB,0,2021-08-13T15:03:52.000Z,en,0,0,4.0
4102931,WEB,0,2021-08-13T15:42:07.000Z,en,0,81,4.0
4102982,WEB,0,2021-08-13T15:48:24.000Z,en,0,103,4.0
4103042,WEB,0,2021-08-13T15:59:39.000Z,en,0,24,5.0
4103195,WEB,0,2021-08-13T16:23:30.000Z,en,0,0,4.0
4104004,WEB,0,2021-08-13T18:48:58.000Z,en,0,19,5.0
4107152,WEB,0,2021-08-14T11:00:49.000Z,en,0,0,
4107204,WEB,0,2021-08-14T11:11:56.000Z,en,0,0,6.0
4107223,WEB,0,2021-08-14T11:16:45.000Z,en,0,1679,5.0
4107306,WEB,0,2021-08-14T11:31:17.000Z,en,0,10,3.0
4107324,WEB,0,2021-08-14T11:34:32.000Z,en,0,0,3.0
4107349,WEB,0,2021-08-14T11:37:23.000Z,en,0,0,4.0
4108751,WEB,0,2021-08-14T15:44:33.000Z,en,0,0,
4109561,WEB,0,2021-08-14T18:37:46.000Z,en,0,0,
4109753,WEB,0,2021-08-14T19:16:49.000Z,en,0,0,3.0
4118147,WEB,0,2021-08-16T13:12:47.000Z,en,0,0,3.0
4118708,WEB,0,2021-08-16T15:16:18.000Z,en,0,0,2.0
4118797,WEB,0,2021-08-16T15:37:38.000Z,en,0,676,4.0
4119043,WEB,0,2021-08-16T16:36:25.000Z,en,0,0,
4121433,WEB,0,2021-08-17T08:27:12.000Z,en,0,0,
4121444,WEB,0,2021-08-17T08:30:42.000Z,en,0,0,
4121724,WEB,0,2021-08-17T09:50:14.000Z,en,0,0,10.0
4122236,WEB,0,2021-08-17T11:50:48.000Z,en,0,40,4.0
4123460,WEB,0,2021-08-17T16:17:41.000Z,en,0,0,4.0
4123472,WEB,0,2021-08-17T16:20:36.000Z,en,0,0,
4123529,WEB,0,2021-08-17T16:36:37.000Z,en,0,0,5.0
4123536,WEB,0,2021-08-17T16:37:54.000Z,en,0,0,3.0
4123870,WEB,0,2021-08-17T18:04:49.000Z,en,0,0,3.0
4123895,WEB,0,2021-08-17T18:11:09.000Z,en,0,1454,5.0
4123923,WEB,0,2021-08-17T18:17:28.000Z,en,0,0,2.0
4123950,WEB,0,2021-08-17T18:27:58.000Z,en,0,0,4.0
4126534,WEB,0,2021-08-18T09:08:33.000Z,en,0,0,
4126566,WEB,0,2021-08-18T09:17:31.000Z,en,0,348,4.0
4127070,WEB,0,2021-08-18T11:28:20.000Z,en,0,0,
4127680,WEB,0,2021-08-18T13:43:28.000Z,en,0,12,3.0
4127920,WEB,0,2021-08-18T14:29:03.000Z,en,0,0,4.0
